#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 cons_h cons_h_vcon1 cons_h_vcon2 dsdu_ut entropy 
7600 992966.6868524343 130.97020843013672 0.468523199258887 0.0009345965642337707 0.0008952550084163819 2.931676698035517 0.009227852688218713 0.013742509827122946 2.1827872842550278e-11 0.011239216244116224 3.7220666101662383e-16 4.750756733653928e-13 7.387780641008104e8
7800 1.0191123769164024e6 130.53980923393155 0.4814317816096774 0.0009649099156247169 0.0009008215577813178 2.5426276131784107 0.00922345510814604 0.010888096438973538 3.8198777474462986e-11 0.06627303672270779 7.640271310960757e-16 5.267008490962803e-13 7.387780641008062e8
8000 1.0451598959521543e6 130.71437369102554 0.48084081958368197 0.000975863168420223 0.0009187264233812839 2.6122566207429827 0.011183817559207054 0.011151979499688436 7.275957614183426e-12 0.05455413260394326 2.6831152357665747e-16 8.147917670794963e-13 7.387780641008034e8
8200 1.0713012336970628e6 130.56770609943757 0.4943638123474576 0.0009878116553832324 0.000930772235772353 3.278547866795634 0.014331207179811123 0.010791361251119347 0.0 0.030612439090832 1.506793816742698e-16 6.803587833287393e-13 7.387780641008025e8
8400 1.0974496034927312e6 131.06909477623992 0.5071964751243678 0.001002213965606996 0.000942840268525508 2.9095055283287365 0.011293386962016094 0.011254228466741373 2.546585164964199e-11 0.0746880108249639 5.571079656585424e-16 -7.656056061776956e-13 7.387780641007986e8
8600 1.1236098842367136e6 130.78616046554768 0.4520995909534342 0.0010124678530609836 0.0009693473249378443 3.091704792332166 0.009283856636484622 0.013154380242411265 5.4569682106375694e-12 0.01871686303065384 1.5057632083883104e-17 -1.4629494284104041e-13 7.38778064100792e8
8800 1.1497524234540435e6 130.54337769203786 0.47269886318163873 0.001043692028929041 0.0009702479332705203 3.0539274297152588 0.010883480384918875 0.010389099318142886 4.9112713895738125e-11 0.062390554429407385 3.95527388382695e-16 -9.369990454153811e-13 7.387780641007938e8
9000 1.1758049678927884e6 130.58301670609563 0.47402814249661807 0.0010585634655440469 0.0009954438633456035 2.6049967956578257 0.012428894244694288 0.010836766928711217 1.0913936421275139e-11 0.059492456534676275 9.331300977177773e-16 -7.233574278038461e-14 7.387780641007916e8
9200 1.2019456776035978e6 130.6266568517862 0.4517264172530569 0.0010702206626256557 0.001015574605605017 2.812332597011391 0.011716073932622723 0.01108594816029193 1.8189894035458565e-12 0.023489072890569895 9.032971407817801e-16 3.386439992837358e-13 7.387780641007802e8
9400 1.2280988441042586e6 131.30374326791843 0.4700692873528435 0.0010922002389465442 0.0010081331107940766 2.695085950435896 0.010400639629784436 0.013361821704826521 3.8198777474462986e-11 0.07495505918843559 2.882310096752088e-16 -3.2495182184446756e-13 7.387780641007799e8
9600 1.2542511905889239e6 130.63954803096925 0.4515372662183684 0.0011045072172857298 0.0010271439499381233 2.969398262166578 0.012103770011296366 0.014106981015498538 3.8198777474462986e-11 0.025976771241743912 1.1974453848182367e-16 -8.094312949276576e-14 7.387780641007744e8
9800 1.280391874240501e6 130.60033791858854 0.4482129607044748 0.001132390780773128 0.0010313618001431782 2.578725390090767 0.010896810158203596 0.011456807310793904 1.4551915228366852e-11 0.05785543450986852 9.746797395643404e-17 -4.762243459693582e-13 7.38778064100774e8
9920 1.296e6 43.82177102542482 0.4518416536504096 0.0011262907625277697 0.001048588877210553 3.295936313790662 0.010764897521541361 0.01532075914841581 1.8189894035458565e-12 0.01902947719172332 6.430435256085911e-17 -3.3256369230007866e-13 7.387780641007676e8
