#timestep time dt l2_h l2_h_v1 l2_h_v2 l2_h_v3 l2_b linf_h linf_h_v1 linf_h_v2 linf_h_v3 linf_b l2_H l2_v1 l2_v2 l2_v3 l2_b linf_H linf_v1 linf_v2 linf_v3 linf_b dsdu_ut waterheight e_total 
1450 21165.68063324059 14.607821929476765 1.1956292367265037e-15 1.0 1.0 1.0 0.0 2.1058769940379598e-14 1.0 1.0 1.0 0.0 1.1923929429056777e-15 1.0 1.0 1.0 0.0 2.1058769940379598e-14 1.0 1.0 1.0 0.0 1.5399995583678884e-23 5942.574955414761 1.7407953877230707e8
1500 21896.071729714386 14.607821929476723 1.230560871510363e-15 1.0 1.0 1.0 0.0 1.6480776475079678e-14 1.0 1.0 1.0 0.0 1.2272519038932083e-15 1.0 1.0 1.0 0.0 1.6480776475079678e-14 1.0 1.0 1.0 0.0 1.592062410669654e-23 5942.574955414761 1.740795387723071e8
1550 22626.46282618818 14.607821929476646 1.2724853134325122e-15 1.0 1.0 1.0 0.0 1.7701574732492988e-14 1.0 1.0 1.0 0.0 1.2690625409547579e-15 1.0 1.0 1.0 0.0 1.7701574732492988e-14 1.0 1.0 1.0 0.0 1.643679519372945e-23 5942.574955414761 1.7407953877230704e8
1600 23356.853922661976 14.607821929476572 1.3053584180283237e-15 1.0 1.0 1.0 0.0 2.105876994037955e-14 1.0 1.0 1.0 0.0 1.3018582893164068e-15 1.0 1.0 1.0 0.0 2.105876994037955e-14 1.0 1.0 1.0 0.0 1.6968121563110482e-23 5942.574955414761 1.7407953877230707e8
1650 24087.24501913577 14.607821929476524 1.3517476363961242e-15 1.0 1.0 1.0 0.0 1.7548974950316284e-14 1.0 1.0 1.0 0.0 1.3481097731750521e-15 1.0 1.0 1.0 0.0 1.7548974950316284e-14 1.0 1.0 1.0 0.0 1.7457102290636483e-23 5942.574955414761 1.7407953877230704e8
1700 24817.636115609566 14.607821929476442 1.3942259329987677e-15 1.0 1.0 1.0 0.0 2.288996732649945e-14 1.0 1.0 1.0 0.0 1.390480005428702e-15 1.0 1.0 1.0 0.0 2.288996732649945e-14 1.0 1.0 1.0 0.0 1.797817655725261e-23 5942.574955414761 1.7407953877230704e8
1750 25548.02721208336 14.60782192947638 1.4277407340110302e-15 1.0 1.0 1.0 0.0 2.31951668908528e-14 1.0 1.0 1.0 0.0 1.4239093557491244e-15 1.0 1.0 1.0 0.0 2.31951668908528e-14 1.0 1.0 1.0 0.0 1.8514406106216857e-23 5942.574955414761 1.7407953877230704e8
1800 26270.58772630742 14.607821929476314 1.4604730766910573e-15 1.0 1.0 1.0 0.0 2.319516689085276e-14 1.0 1.0 1.0 0.0 1.4565668259653901e-15 1.0 1.0 1.0 0.0 2.319516689085276e-14 1.0 1.0 1.0 0.0 1.8980208166622205e-23 5942.574955414761 1.74079538772307e8
1850 27000.978822781217 14.607821929476225 1.5025643091865678e-15 1.0 1.0 1.0 0.0 2.411076558391278e-14 1.0 1.0 1.0 0.0 1.4985282733825253e-15 1.0 1.0 1.0 0.0 2.411076558391278e-14 1.0 1.0 1.0 0.0 1.9508414330813918e-23 5942.574955414761 1.7407953877230704e8
1900 27731.369919255012 14.60782192947612 1.5520029252807217e-15 1.0 1.0 1.0 0.0 2.2279568197792817e-14 1.0 1.0 1.0 0.0 1.5478330474450872e-15 1.0 1.0 1.0 0.0 2.2279568197792817e-14 1.0 1.0 1.0 0.0 2.00183728664431e-23 5942.574955414761 1.7407953877230704e8
