#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut entropy mass h_squared 
1450 116280.16609481031 79.87170417197144 16.687100877384314 0.030221298150311007 0.040463592967856975 161.98359492034706 0.2660259125138138 0.3823419824124258 -5.792278335442618e-15 1.569075121018166e8 5619.927979669325 3.168042069797242e7
1500 120272.82734710457 79.83383733946604 17.034739462286094 0.031177491328308563 0.041664571105021586 165.31152701960673 0.27467583587204925 0.3981510706729379 9.844871219535319e-15 1.5690751210180876e8 5619.927979669372 3.168037035203422e7
1550 124232.54851292436 79.80231251241138 17.388393561168076 0.032094489653918916 0.042856795395253694 168.7424717634185 0.28256522264059913 0.4127809712176742 -3.209926433748549e-15 1.5690751210180017e8 5619.927979669282 3.1680333030789368e7
1600 128221.83836050637 79.77424296549661 17.7447685419665 0.03300432507047921 0.04404494865978522 172.6714905305289 0.29070209306391426 0.4268065331202402 1.097257447071428e-14 1.5690751210179225e8 5619.92797966928 3.168031009142636e7
1650 132209.22359004294 79.72629658848491 18.102092696584446 0.0338982166632762 0.04519569489463092 176.05290003135815 0.29847137087136927 0.44157739920932204 7.060596750365434e-15 1.5690751210178486e8 5619.927979669379 3.1680302413008384e7
1700 136194.3152456958 79.67660941754042 18.484111129462242 0.0347641482263123 0.04631516053881342 179.24784177595302 0.3063400406902799 0.45476430542137647 -3.829976263481109e-14 1.569075121017775e8 5619.927979669264 3.168031179295937e7
1750 140176.87669857388 79.62628113937829 18.937288940279362 0.03557353304889578 0.047427307125147464 182.31129018609317 0.3138964247460372 0.46609319814535366 9.515674840872106e-15 1.5690751210176805e8 5619.9279796692945 3.168034769904373e7
1800 144156.81314607957 79.57037865802587 19.528011267732683 0.0362124266050074 0.04852121280766268 185.3893382729584 0.32116003739362586 0.47756201378073726 -8.35559787040116e-14 1.5690751210176134e8 5619.927979669241 3.1680453159157015e7
1850 148133.80201867342 79.51009137983395 20.34492497632917 0.036639369721276044 0.04960694522419462 189.11621552078668 0.3287704986883093 0.4918228160459044 -6.887694616034562e-14 1.5690751210175478e8 5619.927979669273 3.168062686733553e7
1900 152107.71962242652 79.4458257619371 21.349427081848766 0.037307213005145744 0.05067927434540332 193.51433141592588 0.34003213210808003 0.5042453169213319 6.182472514701114e-14 1.569075121017463e8 5619.927979669266 3.1680552735843014e7
1950 156077.8034759401 79.36070683187819 22.023690665341263 0.03852498997978268 0.05170905596892795 202.38263092170382 0.3526341306511062 0.5145523700247759 2.4031604862533437e-14 1.569075121017398e8 5619.927979669293 3.168003843467939e7
2000 160045.26917879467 79.344696842752 21.69230294603512 0.03966954616321776 0.05276147930888521 213.69636336447547 0.3640941825357816 0.5199472756936674 -2.1739881687892837e-14 1.569075121017306e8 5619.927979669285 3.1679691300656673e7
2050 164013.47898375403 79.39002391331515 20.664988108680085 0.04053004997682098 0.05384560489277528 191.99843411861093 0.3658647244603826 0.5338412128782084 1.4508010463165094e-14 1.5690751210172486e8 5619.927979669334 3.1679967078459274e7
