#timestep time dt l2_h l2_h_v1 l2_h_v2 l2_h_v3 l2_b linf_h linf_h_v1 linf_h_v2 linf_h_v3 linf_b l2_H l2_v1 l2_v2 l2_v3 l2_b linf_H linf_v1 linf_v2 linf_v3 linf_b dsdu_ut waterheight e_total 
3050 44514.70397365316 14.607821929478275 5.935592679604693e-16 1.0 1.0 1.0 0.0 1.052938497018983e-14 1.0 1.0 1.0 0.0 5.920247026996381e-16 1.0 1.0 1.0 0.0 1.052938497018983e-14 1.0 1.0 1.0 0.0 3.0502234443577126e-24 5942.574955414761 1.7407953877230707e8
3100 45245.095070127136 14.607821929478266 5.985798383387666e-16 1.0 1.0 1.0 0.0 1.052938497018983e-14 1.0 1.0 1.0 0.0 5.970339925093945e-16 1.0 1.0 1.0 0.0 1.052938497018983e-14 1.0 1.0 1.0 0.0 3.0586925727287187e-24 5942.574955414761 1.7407953877230707e8
3150 45975.48616660111 14.607821929478261 6.035305308639736e-16 1.0 1.0 1.0 0.0 1.0681984752366492e-14 1.0 1.0 1.0 0.0 6.019681927562036e-16 1.0 1.0 1.0 0.0 1.0681984752366492e-14 1.0 1.0 1.0 0.0 3.0943520606066402e-24 5942.574955414761 1.7407953877230707e8
3200 46705.87726307509 14.607821929478257 6.091984076106712e-16 1.0 1.0 1.0 0.0 1.0681984752366492e-14 1.0 1.0 1.0 0.0 6.076147051062917e-16 1.0 1.0 1.0 0.0 1.0681984752366492e-14 1.0 1.0 1.0 0.0 3.180157703312889e-24 5942.574955414761 1.7407953877230707e8
3250 47436.26835954907 14.607821929478252 6.136577495066902e-16 1.0 1.0 1.0 0.0 1.0681984752366492e-14 1.0 1.0 1.0 0.0 6.1206761482402e-16 1.0 1.0 1.0 0.0 1.0681984752366492e-14 1.0 1.0 1.0 0.0 3.227183652951898e-24 5942.574955414761 1.7407953877230707e8
3300 48166.659456023044 14.607821929478249 6.184174564268305e-16 1.0 1.0 1.0 0.0 1.0681984752366492e-14 1.0 1.0 1.0 0.0 6.168145517754068e-16 1.0 1.0 1.0 0.0 1.0681984752366492e-14 1.0 1.0 1.0 0.0 3.231863960735875e-24 5942.574955414761 1.7407953877230707e8
3350 48897.05055249702 14.607821929478241 6.23723531977158e-16 1.0 1.0 1.0 0.0 1.0681984752366492e-14 1.0 1.0 1.0 0.0 6.221081628615793e-16 1.0 1.0 1.0 0.0 1.0681984752366492e-14 1.0 1.0 1.0 0.0 3.2831244745603873e-24 5942.574955414761 1.7407953877230707e8
3400 49627.441648971 14.607821929478238 6.289681266920667e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 6.273329848848083e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 3.2820101155642022e-24 5942.574955414761 1.7407953877230707e8
3450 50357.832745444975 14.607821929478233 6.340493633016366e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 6.32400354518041e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 3.272426628197011e-24 5942.574955414761 1.740795387723071e8
3500 51088.22384191895 14.607821929478227 6.38695039484447e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 6.370330551383389e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 3.3566721683086e-24 5942.574955414761 1.740795387723071e8
3550 51818.61493839293 14.607821929478224 6.441221874358324e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 6.424460935873118e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 3.423533708079704e-24 5942.574955414761 1.740795387723071e8
3600 52541.17545261502 14.60782192947822 6.496843951254345e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 6.479956500427792e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 3.443592170011034e-24 5942.574955414761 1.740795387723071e8
3650 53271.566549088995 14.607821929478213 6.551549298792738e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 6.534510730372773e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 3.46030755495381e-24 5942.574955414761 1.740795387723071e8
3700 54001.95764556297 14.607821929478206 6.603792415537055e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 6.586640301892927e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 3.530957915311942e-24 5942.574955414761 1.740795387723071e8
3750 54732.34874203695 14.607821929478199 6.656626992451499e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 6.639328821431396e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 3.549679146447851e-24 5942.574955414761 1.740795387723071e8
3800 55462.739838510926 14.60782192947819 6.712736636664406e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 6.695364120498433e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 3.5920247883028824e-24 5942.574955414761 1.7407953877230707e8
3850 56193.1309349849 14.607821929478185 6.770062800497412e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 6.752538309809774e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 3.652645917695349e-24 5942.574955414761 1.7407953877230707e8
3900 56923.52203145888 14.607821929478177 6.820088436847209e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 6.8024766985182765e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 3.669584174437362e-24 5942.574955414761 1.7407953877230707e8
3950 57653.91312793286 14.607821929478172 6.87795287662392e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 6.860190564894639e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 3.739565919397783e-24 5942.574955414763 1.7407953877230707e8
4000 58384.304224406835 14.607821929478167 6.936097679276322e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 6.918121313555522e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 3.771659458487912e-24 5942.574955414763 1.7407953877230707e8
4050 59114.69532088081 14.607821929478167 6.986106537306849e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 6.96799164439606e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 3.7366685860077015e-24 5942.5749554147615 1.7407953877230707e8
4100 59845.08641735479 14.607821929478163 7.036682537569918e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 7.01842761067824e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 3.8272659723975465e-24 5942.5749554147615 1.7407953877230707e8
4150 60567.64693157688 14.607821929478161 7.087204383622602e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 7.068819683781616e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 3.8884442812881056e-24 5942.5749554147615 1.7407953877230707e8
4200 61298.038028050854 14.607821929478153 7.128998667680707e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 7.11043730131044e-16 1.0 1.0 1.0 0.0 1.0987184316719818e-14 1.0 1.0 1.0 0.0 3.931012794942374e-24 5942.5749554147615 1.7407953877230707e8
