#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 l2_H l2_vcon1 l2_vcon2 linf_H linf_vcon1 linf_vcon2 dsdu_ut mass entropy 
2050 26959.161932873885 13.150587432551934 6.938930769710571e-9 1.6716065659836233e-7 1.6924107255832698e-7 3.174107943314716e-8 7.137517571217093e-7 4.291013180738189e-7 5.366454649398804e-9 2.0109732714090222e-7 3.051117496052764e-7 3.1153557078058e-8 7.365224120100229e-7 1.6464111239072322e-6 -1.800266333451199e-10 9507.350780127994 7.387780849075195e8
2100 27616.610166133192 13.147620509733995 6.930569476564502e-9 1.685270054002572e-7 1.6992137416076723e-7 3.142685483065246e-8 7.120090990973436e-7 4.1769198502697676e-7 5.359988163128493e-9 2.0274333366667218e-7 3.024444424649938e-7 3.0845069255926215e-8 7.524478824079914e-7 1.64378189105814e-6 -1.7878682707619036e-10 9507.350780127917 7.38778084907523e8
2150 28273.943675974664 13.145973206133233 6.933228304949019e-9 1.699252502527619e-7 1.7055480876883325e-7 3.1038152153761645e-8 7.080783437130086e-7 4.0505447570897433e-7 5.362044457100238e-9 2.045431649373986e-7 2.9949297170940187e-7 3.046395869980907e-8 7.665845571730503e-7 1.6395069143448818e-6 -1.7955096853870815e-10 9507.350780128088 7.387780849075224e8
2200 28931.154617824453 13.142401042149329 6.92141508102099e-9 1.7136651411701634e-7 1.710831499297756e-7 3.12430216024443e-8 7.030908672885068e-7 3.934588905824108e-7 5.352908304221355e-9 2.065025466741679e-7 2.962096796474907e-7 3.0664846247088776e-8 7.858571591574807e-7 1.637240783448679e-6 -1.7963276167900203e-10 9507.350780128001 7.387780849075104e8
2250 29588.201209025137 13.139732638703931 6.912687037560914e-9 1.728341094193566e-7 1.7144756192532098e-7 3.074625091980225e-8 6.935170600252565e-7 3.83759247637829e-7 5.346158179638211e-9 2.0863966899744684e-7 2.9265034204086356e-7 3.0177090138762964e-8 8.117239832206134e-7 1.6276676876248063e-6 -1.7835314026722927e-10 9507.350780127901 7.387780849075214e8
2300 30245.147588335483 13.138367311483812 6.917026025260375e-9 1.7431436039158494e-7 1.717685333986495e-7 3.0001138833824504e-8 6.909160723900223e-7 3.7138581259395855e-7 5.349513881100361e-9 2.109585546860107e-7 2.8899122519586387e-7 2.944573057498321e-8 8.268327473985893e-7 1.5990477924244575e-6 -1.7720465824871797e-10 9507.350780128094 7.387780849075212e8
2350 30902.059014048944 13.138308797010914 6.9079622903543785e-9 1.7578978297709538e-7 1.7206515090138037e-7 3.017808537550171e-8 6.902507691344644e-7 3.6891410523371185e-7 5.3425041387269065e-9 2.1341985251384354e-7 2.852409979114095e-7 2.961939627811701e-8 8.369510428421149e-7 1.5677349094388045e-6 -1.7936276429184755e-10 9507.350780127996 7.387780849075202e8
2400 31559.00087490351 13.139558619577352 6.89681647105213e-9 1.7726538229658748e-7 1.722220169316561e-7 3.014494939230215e-8 6.892239562684282e-7 3.7793062831352453e-7 5.333884145292167e-9 2.1605124595234698e-7 2.813809980644898e-7 2.9587301339217146e-8 8.502996299662548e-7 1.5341735246507826e-6 -1.8136942217249038e-10 9507.350780128032 7.387780849075105e8
2450 32216.03857921462 13.142116080035931 6.9042654877224894e-9 1.787465938204279e-7 1.7228972524903377e-7 2.9629298558515267e-8 6.892427908735852e-7 3.8703819806336e-7 5.3396450916798646e-9 2.1889194537740134e-7 2.775385501312482e-7 2.9080802296757782e-8 8.591686514033524e-7 1.500469561548777e-6 -1.809813637614402e-10 9507.350780127994 7.387780849075174e8
2500 32873.115423667805 13.140263361377846 6.90692974177289e-9 1.801614615126376e-7 1.7239400780661984e-7 2.9499055068423046e-8 6.880033303115499e-7 3.950234215246994e-7 5.341705581656312e-9 2.218321163275694e-7 2.738043572789268e-7 2.895319129341537e-8 8.677357242469935e-7 1.4662833439011417e-6 -1.794278592636689e-10 9507.350780127967 7.38778084907521e8
2550 33530.08019139271 13.138578957197149 6.8965054761065886e-9 1.8150129210598307e-7 1.724539911561395e-7 2.9837098834746406e-8 6.856612349955947e-7 4.0390265994353316e-7 5.33364362642696e-9 2.2483636726624802e-7 2.701127672547021e-7 2.9284752727965153e-8 8.926509490028736e-7 1.4333031633510838e-6 -1.8140161695013214e-10 9507.350780128076 7.387780849075315e8
2600 34186.99410077497 13.138202913788977 6.899156593572633e-9 1.828198164548473e-7 1.723962071054761e-7 3.015684984228287e-8 6.845552496913039e-7 4.14096818739577e-7 5.335693957648146e-9 2.280010548943257e-7 2.664596084125997e-7 2.9598600945541622e-8 9.144383111519135e-7 1.400240508163062e-6 -1.812389324971155e-10 9507.350780127876 7.387780849075079e8
2650 34835.91558077588 13.139115220776612 6.913384960272465e-9 1.8405880644190707e-7 1.7232636903566003e-7 3.048281987413246e-8 6.827370803036189e-7 4.241689536462479e-7 5.346697941811097e-9 2.3123382483711513e-7 2.6300128937632443e-7 2.991860211789908e-8 9.328504282745965e-7 1.3670227906969477e-6 -1.843079638369521e-10 9507.350780128054 7.387780849075036e8
2700 35492.92253230264 13.14133541736154 6.914760168592783e-9 1.8518006877958726e-7 1.7231654479932255e-7 3.073578851000897e-8 6.777916539468621e-7 4.349907297671624e-7 5.347761505116645e-9 2.3446294218595595e-7 2.5970860229610975e-7 3.016692714598751e-8 9.463749993599667e-7 1.3403724013062105e-6 -1.8188064916178932e-10 9507.350780127968 7.387780849075248e8
2750 36150.0736548803 13.14485502851383 6.9099255722019915e-9 1.8619992656863054e-7 1.7226788100811617e-7 3.0882359383816294e-8 6.675659617541456e-7 4.442030763124076e-7 5.344022508026486e-9 2.3766672918571735e-7 2.5653597943743404e-7 3.031127233899265e-8 9.570575885216762e-7 1.3186537788461931e-6 -1.8278379196295663e-10 9507.350780127945 7.387780849075226e8
2800 36807.37951834173 13.146904117430982 6.922949253338824e-9 1.8715825462446523e-7 1.7213852163541358e-7 3.1069209320445146e-8 6.634215656028494e-7 4.534758566858096e-7 5.354094808059231e-9 2.409300725632598e-7 2.5345356691876007e-7 3.0494158833573977e-8 9.669769964486128e-7 1.2970572856059136e-6 -1.8226962030382545e-10 9507.350780127907 7.387780849075141e8
2850 37464.78331897326 13.149417333388545 6.941512311345792e-9 1.880243569753765e-7 1.7203381507431743e-7 3.130718832713977e-8 6.585145811032474e-7 4.6367859992513927e-7 5.368451170811259e-9 2.441730910726238e-7 2.505662446492318e-7 3.0727610904338786e-8 9.97611962861226e-7 1.2736440085234873e-6 -1.8239930016508312e-10 9507.350780127934 7.387780849075147e8
2900 38122.3463409218 13.15324533482879 6.9417996988392655e-9 1.8875703358536868e-7 1.7198910993977844e-7 3.1425538069812037e-8 6.672202557998584e-7 4.654529462057591e-7 5.368673431951484e-9 2.472315596409869e-7 2.479206092876702e-7 3.084408423823164e-8 1.0246852829740448e-6 1.2491913695082854e-6 -1.8259168175095974e-10 9507.350780128048 7.387780849075001e8
2950 38780.134100526244 13.158379038056351 6.942692877097492e-9 1.8938259887442792e-7 1.7191687492806137e-7 3.1631747551297115e-8 6.756973929727333e-7 4.6836103210772764e-7 5.369364201066784e-9 2.501320761112261e-7 2.454339629255363e-7 3.1047034416219315e-8 1.048997567840308e-6 1.2243837596953625e-6 -1.8314201840673736e-10 9507.350780127916 7.387780849075226e8
3000 39438.21160638249 13.164807252948894 6.964939893270221e-9 1.8994727559113907e-7 1.718281204005525e-7 3.176436762487578e-8 6.739281903359666e-7 4.859447203711402e-7 5.386569676665775e-9 2.529940208911824e-7 2.430790869424306e-7 3.1176787618666575e-8 1.0705402716450648e-6 1.1991830992958895e-6 -1.8423209138550995e-10 9507.35078012789 7.387780849075283e8
3050 40096.643253297254 13.172516661405593 6.976338672026553e-9 1.904527919423829e-7 1.717783611425373e-7 3.179797934856771e-8 6.744830188491715e-7 5.020472153968686e-7 5.395385304266158e-9 2.5571722493182037e-7 2.408826015674898e-7 3.1209432889480326e-8 1.0886811310662845e-6 1.1735840979048557e-6 -1.8520888611057992e-10 9507.350780127914 7.387780849075264e8
3100 40755.49271634911 13.18149183899544 6.977072838324555e-9 1.9083332240725741e-7 1.7171424705137146e-7 3.173643313995163e-8 6.705647258765715e-7 5.113859421022664e-7 5.395953096548692e-9 2.5810913201192427e-7 2.3886468965431016e-7 3.1148971922013816e-8 1.1016536342688357e-6 1.1469938698179927e-6 -1.840546463711288e-10 9507.35078012794 7.38778084907521e8
3150 41414.822846004274 13.191715267262186 6.988923435013929e-9 1.9114590829066038e-7 1.7169887785958228e-7 3.1632961748887346e-8 6.632854806822694e-7 5.178893994576587e-7 5.4051181525010425e-9 2.6027475427573117e-7 2.3709099858118552e-7 3.104734741114903e-8 1.1134837514426686e-6 1.1252200563669069e-6 -1.845567780279356e-10 9507.350780128063 7.387780849075134e8
3200 42074.69556331166 13.20316732928093 7.000709636582494e-9 1.9144963697364374e-7 1.7174912696916154e-7 3.1504091838268844e-8 6.604998947591328e-7 5.254615081253991e-7 5.414233406825565e-9 2.6232222229397723e-7 2.3551067974630508e-7 3.092088033766616e-8 1.1254701938153133e-6 1.1027139294803688e-6 -1.8594539673456254e-10 9507.35078012786 7.387780849075146e8
3250 42735.17175489362 13.215826306128552 7.007834023688838e-9 1.9169764994981192e-7 1.717387389729551e-7 3.12942333933159e-8 6.569947361303719e-7 5.4018510432844e-7 5.419743289751545e-9 2.6410764493940144e-7 2.339625159070708e-7 3.071493123508234e-8 1.1363910122089402e-6 1.0800925520506912e-6 -1.8736569104278889e-10 9507.350780127947 7.387780849075258e8
3300 43385.06633267733 13.217270166829644 7.011090690972329e-9 1.9190709503068004e-7 1.7173279445776333e-7 3.119731877163863e-8 6.590848278899545e-7 5.480050063518913e-7 5.422261942610064e-9 2.655381911799069e-7 2.325515457628713e-7 3.061979043076782e-8 1.1446716994906245e-6 1.0660948997963716e-6 -1.8733406330254393e-10 9507.350780127963 7.387780849075315e8
3350 44045.59876124004 13.204481480279611 7.013426595561261e-9 1.9210186348373788e-7 1.718075475735887e-7 3.1208925040919094e-8 6.570658615500748e-7 5.393049464634631e-7 5.424068492940242e-9 2.667172035520344e-7 2.3139968509871737e-7 3.063120802941463e-8 1.1501500892545414e-6 1.0464993458216604e-6 -1.860675992164151e-10 9507.350780127872 7.387780849075168e8
3400 44705.5223744921 13.192897295881151 7.018691773061595e-9 1.9228054414110276e-7 1.719085786239874e-7 3.1383244139619586e-8 6.477240589732805e-7 5.255988049736247e-7 5.4281404947144896e-9 2.6766182747440305e-7 2.3044973809843018e-7 3.080223804605751e-8 1.1539877024458298e-6 1.0237126314573908e-6 -1.8575124810747977e-10 9507.350780128041 7.387780849075246e8
3450 45364.89796590065 13.182539558067417 7.021239163709509e-9 1.9248344442519321e-7 1.7198887059949183e-7 3.1331248885591195e-8 6.352300412237181e-7 5.098609813751495e-7 5.4301106041533146e-9 2.683834720396666e-7 2.2951935489726281e-7 3.0751323485123055e-8 1.1562516669440303e-6 1.0108696787984643e-6 -1.8615880477067434e-10 9507.350780128076 7.387780849075155e8
3500 46023.78737245074 13.173428105775777 7.016860818600012e-9 1.927051835653053e-7 1.7206104200064707e-7 3.136051150044239e-8 6.248992069710064e-7 4.974745544445145e-7 5.426724464066892e-9 2.6879893539077116e-7 2.2862180382222308e-7 3.078005345984169e-8 1.1577571595966077e-6 1.00122655204178e-6 -1.8601515465866746e-10 9507.350780127967 7.387780849075207e8
3550 46682.253369454455 13.165580675793374 7.010890365594417e-9 1.9292846746704607e-7 1.7215838229547694e-7 3.157232079946626e-8 6.246151548027648e-7 4.876753349639752e-7 5.422107014713384e-9 2.688537514274364e-7 2.2791371475628486e-7 3.098823513417254e-8 1.1582737777420543e-6 9.871646781648521e-7 -1.8779483796297402e-10 9507.350780128023 7.387780849075148e8
3600 47340.359565520645 13.159012905350162 7.008308765639844e-9 1.931878215972848e-7 1.7227991652343554e-7 3.172292183742745e-8 6.326276440117789e-7 4.843165296171312e-7 5.420110447810951e-9 2.6865466514837216e-7 2.2741654116338522e-7 3.113646909119555e-8 1.159139906176128e-6 9.70042841403943e-7 -1.8787942333468628e-10 9507.350780127987 7.38778084907513e8
