#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut entropy mass h_squared 
2100 167984.4734285213 79.39338167242862 20.392869289377675 0.041769702251617816 0.054894958105758236 188.59416717339082 0.37390817612997074 0.5523300487155014 -7.987263881927724e-6 1.5690751101528963e8 5619.927979669369 3.1680376557444733e7
2150 171942.61126304397 78.93187493599397 21.414083182763587 0.04313638316405953 0.05578397628580172 209.36821945401334 0.4054674737813965 0.5542658934712706 -8.872277859441258e-6 1.569075109811145e8 5619.927979669328 3.1680424717013557e7
2200 175879.0420007598 78.6599984978534 21.889291211085414 0.043783689497141134 0.05690207425499548 201.69779538588864 0.42030719581086284 0.557173591772734 -8.71451080164303e-6 1.5690751094734758e8 5619.927979669308 3.1680122663224902e7
2250 179824.45606429834 79.12601311027449 23.255097198853626 0.043314709245375914 0.05815117855958385 211.64453884366412 0.4032633934368611 0.5781925681033667 -8.581726984550593e-6 1.5690751091379753e8 5619.92797966929 3.1679798813239906e7
2300 183737.09910915434 79.15187552452628 24.11092465233965 0.04363386355332089 0.05902577184548554 230.14364334665152 0.41167698693837596 0.5868009750577502 -8.964383025054491e-6 1.5690751087884474e8 5619.9279796692945 3.16797495874722e7
2350 187684.67557984107 78.78846679653577 24.26416706870582 0.045091536956714695 0.05965921487431663 217.26708304079057 0.43217674680981766 0.5884698648565364 -9.431387694574935e-6 1.5690751084219676e8 5619.927979669282 3.168010016351077e7
2400 191619.28457725656 78.61964687207882 23.66769064055118 0.04677162705241124 0.060657472808367925 193.171503511654 0.4497168410330989 0.5956317042777519 -9.965535688420363e-6 1.569075108042358e8 5619.9279796693045 3.16803610344796e7
2450 195546.9630461352 78.49452502958128 23.147680203043947 0.04774722411716981 0.061900512983323136 194.08598580267517 0.4558073910524528 0.6066647260125794 -9.962026178569558e-6 1.5690751076549193e8 5619.927979669327 3.168014107264827e7
2500 199468.8461839287 78.38424534708247 23.337150396480645 0.0480426344814668 0.06307366559804231 203.7779452411478 0.45563832308703894 0.6164567959319807 -9.778076191429712e-6 1.5690751072644854e8 5619.927979669353 3.167971483817785e7
2550 203385.37154413972 78.27921284881049 24.06046981511717 0.04831160393342176 0.06406537845702286 211.99112670595514 0.45373236503257264 0.6233482833268309 -9.683828219656931e-6 1.5690751068859747e8 5619.927979669344 3.167956420425521e7
2600 207296.65493959823 78.17342548051938 24.853714307426987 0.04895571648068652 0.06489766654904677 216.1682583733491 0.454144719192944 0.6280419245177413 -9.480633017550725e-6 1.5690751065124148e8 5619.927979669349 3.167974438258576e7
2650 211202.53873268407 78.06361538402635 25.44526878399265 0.04987754944396417 0.06563064829796258 216.55941849589453 0.45712236255536987 0.632967098123953 -9.447888417313264e-6 1.56907510614211e8 5619.927979669332 3.1679962170995217e7
2700 215102.89116439884 77.95289901077649 25.76140706792682 0.050868589671786396 0.0663540899858486 214.9447663560495 0.460685689725181 0.6385080132788358 -9.500244578114662e-6 1.5690751057721248e8 5619.927979669274 3.168004706897866e7
2750 218997.703443098 77.8412397130298 25.871345544887355 0.05177440281498672 0.06712429370287848 213.04856600001312 0.463522005988469 0.6439424805998676 -9.459472127442614e-6 1.569075105402885e8 5619.927979669321 3.1679998687596437e7
2800 222886.8423036674 77.72594675436395 25.93124188072091 0.05253820944265293 0.06794420589582269 211.9365626468043 0.46479219073462863 0.649564878390489 -9.440205719044772e-6 1.5690751050353873e8 5619.927979669361 3.1679891828537308e7
2850 226770.0931024284 77.60560234667855 26.080427302737263 0.05319698839411646 0.06877266427246835 212.08879347656966 0.46429673763989937 0.6551926200276731 -9.407532648059967e-6 1.5690751046695375e8 5619.9279796693445 3.1679800456811544e7
2900 230647.2065981149 77.48078704937576 26.35533379019374 0.053816625344884746 0.06960099930383347 213.3353689985006 0.46243194568573054 0.6603522720469982 -9.441057867971418e-6 1.5690751043043122e8 5619.927979669302 3.167976077112333e7
2950 234518.03104758874 77.3552224750452 26.682108334061525 0.054440904872831916 0.07043302871643761 214.85191793154718 0.4599940346770774 0.6645347376705785 -9.444920418194316e-6 1.569075103938574e8 5619.927979669293 3.1679768965218075e7
3000 238382.68277687687 77.23407330948234 26.964380239628397 0.05510234667509606 0.0712653009250529 215.89914707982098 0.45754496730293137 0.6686646495856448 -9.450665631824977e-6 1.569075103573686e8 5619.927979669331 3.16797984297435e7
3050 242228.485446256 77.11792736333726 27.1831700452244 0.05579753896616876 0.0720803921193404 216.13569397542778 0.45525766244346466 0.6739081534128324 -9.52317096089703e-6 1.5690751032091767e8 5619.927979669279 3.1679821455349226e7
3100 246081.50508578328 77.00590015030343 27.336637522632884 0.056525329331781886 0.07286776104767874 215.63816438435515 0.45298538305521857 0.6774729008206986 -9.64329940831457e-6 1.5690751028400007e8 5619.927979669368 3.1679818958516706e7
3150 249929.0580736699 76.89940772209724 27.4948046250001 0.05723742577968805 0.07360229310264502 214.77337495134088 0.4504550092102849 0.6792740841329346 -9.663775155110215e-6 1.569075102468088e8 5619.927979669295 3.1679789146010667e7
3200 253771.46431287407 76.80019568314685 27.442465093908204 0.05802633758034947 0.0743210935679933 214.00078550758826 0.44738015947773835 0.6794328803903571 -9.56778649799596e-6 1.569075102098081e8 5619.927979669366 3.1679727532003045e7
3250 257609.1333969345 76.70998554244724 27.865762303482406 0.0585808158599642 0.07496406641551356 213.67491505847738 0.44357528708309274 0.6782608132188852 -9.471620227660312e-6 1.5690751017324355e8 5619.927979669359 3.1679686966451958e7
3300 261442.54466806178 76.62975664508218 27.92183003420664 0.059287508968028355 0.07565510541950403 213.92742418720172 0.43899649516938954 0.6761966678562363 -9.387533612130551e-6 1.5690751013707253e8 5619.927979669304 3.167963649125094e7
3350 265272.19861139305 76.55938683311206 28.22950446662966 0.059903084388380844 0.07625538929334898 214.64858816553442 0.43372411161834235 0.6737207124848978 -9.36253223053131e-6 1.5690751010110494e8 5619.927979669322 3.167962103270007e7
3400 269098.5638096671 76.4977961264393 28.604393987870903 0.06049385342339822 0.07683320951176685 215.5599763437831 0.42847207444670554 0.6712579355868009 -9.293504093911376e-6 1.5690751006532392e8 5619.927979669315 3.167963286851217e7
3450 272922.0409823332 76.44345617618158 28.80170576085587 0.06115272620978996 0.07742556897313124 216.33642008794413 0.4230071252251757 0.6704731401847344 -9.135973250662763e-6 1.569075100301022e8 5619.927979669308 3.1679652805833057e7
3500 276742.95568975084 76.39499545033824 29.11886715771646 0.06175251778729031 0.07799520011950564 216.7297960867545 0.4174655025279834 0.6702187471486432 -8.995149160278365e-6 1.5690750999546024e8 5619.92797966932 3.1679688411256384e7
3550 280561.58126587875 76.35175782212546 29.367796989728664 0.062325323909325374 0.07860605687641846 216.65428087623332 0.41129734355659214 0.6700534278412291 -8.821660115186047e-6 1.5690750996142825e8 5619.92797966933 3.1679719483279463e7
3600 284378.18303150515 76.31406612934012 29.48966738158376 0.06290964824093126 0.07923573495314344 216.2137045693962 0.4045532594468127 0.6699712748616077 -8.604636431401843e-6 1.5690750992814764e8 5619.927979669314 3.167973721223534e7
