#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut entropy h_squared 
15800 207906.41867070633 13.141706001836008 0.00022782995334920855 4.2217241551923046e-7 2.5665634152665754e-7 0.001181147850729758 5.39457991832748e-6 8.125390324242865e-6 1.263356304800585e-11 7.387780849075254e8 1.0400221015647389e8
16000 210535.9180216388 13.153819002914881 0.00022941800746515887 4.256775944512583e-7 2.60818817611618e-7 0.0011106146357633406 5.3526063803488455e-6 8.044667646978088e-6 1.6820518845994197e-11 7.387780849075252e8 1.0400221015647478e8
16200 213169.2442485943 13.182708527857143 0.00023164042552320638 4.301472474694387e-7 2.6437881636444374e-7 0.0011439864683779888 6.794597520398682e-6 6.933628368788192e-6 1.6788646055614482e-11 7.387780849075193e8 1.0400221015647474e8
16400 215810.12598539397 13.21537675173179 0.00023340748195949102 4.349833116510761e-7 2.672068296879007e-7 0.0011298553290544078 9.339712062406136e-6 8.316665305319049e-6 1.4546421049671709e-11 7.387780849075245e8 1.0400221015647891e8
16600 218440.23729849496 13.172338512702215 0.00023529480492583469 4.3962057128142296e-7 2.7067888979540113e-7 0.0011347771960572572 7.407248039603687e-6 8.156872653763969e-6 1.2416472080669432e-11 7.387780849075289e8 1.040022101564813e8
16800 221072.04959391893 13.149350238966065 0.00023783103298497657 4.448926854049095e-7 2.7349167333383017e-7 0.0011559244958334602 6.0173924405493295e-6 5.308994979413839e-6 1.2283684581667595e-11 7.387780849075391e8 1.040022101564844e8
17000 223700.89611199353 13.139082289469378 0.00024010528837369738 4.497868324111044e-7 2.7601482528344176e-7 0.0011646212697087321 4.871861953192891e-6 6.786212483789189e-6 1.3356260406481833e-11 7.387780849075274e8 1.0400221015649033e8
17200 226328.78816115952 13.142008985416533 0.00024181028430092253 4.541412252355282e-7 2.764593880593362e-7 0.0012889219615317415 7.843894055392653e-6 6.691484348037013e-6 1.482015928028968e-11 7.387780849075416e8 1.0400221015649314e8
17400 228956.61939503008 13.139801258501638 0.00024308740117118404 4.5793356902265067e-7 2.8065636648390656e-7 0.0012545213521661935 5.907318019415797e-6 6.3502887525102025e-6 1.0390132414544585e-11 7.38778084907528e8 1.0400221015649487e8
17600 231585.68790416443 13.150710629209478 0.0002444647748467896 4.6230107945679513e-7 2.843687374965606e-7 0.0012161880331404973 6.510922065272595e-6 7.719661490546148e-6 9.238179490608882e-12 7.387780849075234e8 1.0400221015649363e8
17800 234218.003999523 13.175762435422294 0.00024689498480300623 4.6827008853697304e-7 2.860490467359115e-7 0.0015436130888701882 7.86440904110286e-6 9.55047238138107e-6 1.062822925173377e-11 7.38778084907531e8 1.0400221015649296e8
18000 236857.36975298857 13.22092259180797 0.00024983263075448875 4.7222372644856567e-7 2.8885714578815974e-7 0.0013509188829630148 9.907471015591085e-6 6.932283011296114e-6 1.1215690045700919e-11 7.387780849075347e8 1.0400221015648776e8
